Game Name	Publisher	Genre	Play Time	Times Played	Average Play Time	First Played	Last Played
Etrian Odyssey Untold The Millennium Girl	Atlus	RPG	80.5167	58	1.3833	3/31/2014	5/3/2015
Conception 2: Children Of The Seven Stars	Atlus	RPG	24.3833	17	1.4333	12/7/2014	12/23/2014
Tomodachi Life	Nintendo	Simulation	25.85	20	1.2833	12/288/2014	1/2/2016
Kirby: Triple Deluxe	Nintendo	Platformer	9.6667	11	0.8667	12/23/2014	3/7/2016
The Legend of Zelda A Link Between Worlds	Nintendo	Action, Adventure	35.6	24	1.4833	1/5/2015	2/27/2015
Pokemon Alpha Sapphire	Nintendo	RPG	324.25	136	2.3833	1/26/2015	3/4/2020
Pokemon Rumble World	Nintendo	Action, Adventure	42.4833	55	0.7667	5/7/2015	9/19/2017
Pokemon Shuffle	Nintendo	Puzzle	120.7167	250	0.4667	5/18/2015	8/25/2021
Shin Megami Tensei: Devil Survivor Overclocked	Atlus	RPG	64.8333	55	1.1667	6/17/2015	3/28/2018
Animal Crossing: New Leaf	Nintendo	Simulation	736.7	556	1.3167	1/2/2016	8/5/2019
Pokemon Picross	Nintendo	Puzzle	144.3667	460	0.3	1/18/2016	5/13/2018
Pokemon Moon	Nintendo	RPG	92.8333	36	2.5667	11/18/2016	2/21/2020
Mario & Luigi: Bowser’s Inside Story + Bowser Jr.’s Journey	Nintendo	RPG, Action, Adventure	36.9833	14	2.6333	1/22/2019	1/30/2019
Pokemon SoulSilver	Nintendo	RPG	30.8833	19	1.6167	2/24/2020	2/28/2020
Pokemon X	Nintendo	RPG	16.8833	11	1.5333	23/2/2020	3/8/2020
